P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
TACHP	APLP	OL	0.0983639	1.41169	0.0790203	0.0593377	709.515	252.556	207.321
TACLP	APLP	OL	0.0734886	0.980447	0.163433	0.0492242	666.469	271.566	234.384
TACLP	TACHP	APLP	0.245891	3.73615	9.34281e-05	0.320164	583.616	157.212	95.1566
GL	GH	MADHP	0.0583543	0.765151	0.222091	0.0219671	716.627	184.193	163.881
GL	GH	MADLP	0.139397	1.67407	0.047058	0.0522634	703.838	204.244	154.268
GL	GH	OH	0.130247	1.77536	0.0379189	0.107955	725.024	206.752	159.101
GL	GH	OL	0.0964788	1.38282	0.0833596	0.0824763	757.845	195.559	161.145
GH	GL	TACHP	0.197444	2.11286	0.0173065	0.140525	717.672	227.094	152.204
GH	GL	TACLP	0.246145	2.68993	0.00357338	0.12358	730.21	235.496	142.463
MADHP	MADLP	GH	0.131888	3.09835	0.000973018	0.0571877	909.828	140.92	108.08
MADHP	OH	GH	0.0347891	0.612513	0.270099	0.024705	661.901	210.624	196.462
OL	MADHP	GH	0.0669444	0.872014	0.1916	0.0493837	664.727	237.887	208.035
TACHP	MADHP	GH	0.0306373	0.269679	0.393704	0.0544293	177.804	555.636	522.602
TACLP	MADHP	GH	0.0516731	0.449843	0.326412	0.0875874	196.811	562.873	507.56
OH	MADLP	GH	0.0505651	1.0854	0.138873	0.0333659	683.543	194.031	175.353
OL	MADLP	GH	0.149462	2.2456	0.0123649	0.103715	672.28	241.072	178.38
TACHP	MADLP	GH	0.0594778	0.508096	0.305693	0.108293	160.784	586.711	520.836
TACLP	MADLP	GH	0.0800047	0.677584	0.249018	0.139811	178.259	594.998	506.846
OL	OH	GH	0.0874968	2.20794	0.0136241	0.072812	601.023	273.525	229.511
TACHP	OH	GH	0.0426916	0.361124	0.359003	0.0775879	164.537	576.359	529.162
TACLP	OH	GH	0.0634168	0.531695	0.297469	0.110042	181.656	582.501	513.026
TACHP	OL	GH	0.00291456	0.0248976	0.490068	0.00524025	168.405	547.538	544.356
TACLP	OL	GH	0.0234598	0.198289	0.421409	0.0403169	184.297	555.376	529.915
TACLP	TACHP	GH	0.092386	1.53114	0.062867	0.0352776	684.359	131.711	109.433
MADHP	MADLP	GL	0.0132307	0.446695	0.327548	0.00427803	940.502	121.619	118.443
OH	MADHP	GL	0.0332394	0.680613	0.248058	0.0174348	690.559	204.808	191.631
OL	MADHP	GL	0.0993974	1.2527	0.105157	0.0558636	690.235	243.083	199.129
MADHP	TACHP	GL	0.0560221	0.48821	0.312701	0.0837335	166.241	585.929	523.762
MADHP	TACLP	GL	0.0523844	0.450367	0.326223	0.0781632	179.136	582.918	524.886
OH	MADLP	GL	0.0450951	0.933463	0.17529	0.0216371	728.987	189.5	173.146
OL	MADLP	GL	0.112512	1.47194	0.0705185	0.0599004	714.197	233.014	185.883
MADLP	TACHP	GL	0.0521834	0.453559	0.325073	0.0797924	159.782	594.724	535.732
MADLP	TACLP	GL	0.0484768	0.416071	0.338679	0.0741985	171.599	593.218	538.363
OL	OH	GL	0.0617318	1.42815	0.0766249	0.039116	639.82	264.671	233.894
OH	TACHP	GL	0.0668129	0.590122	0.277555	0.0996873	162.004	601.52	526.175
OH	TACLP	GL	0.0633833	0.548025	0.291837	0.0942156	172.935	597.338	526.129
OL	TACHP	GL	0.0948753	0.860479	0.194762	0.134874	161.492	612.332	506.21
OL	TACLP	GL	0.0912492	0.808437	0.20942	0.129618	171.176	609.827	507.841
TACLP	TACHP	GL	0.0168076	0.2722	0.392734	0.00602662	602.854	125.096	120.96
MADHP	MADLP	OH	0.175246	4.31979	7.809e-06	0	470.233	190.838	133.925
MADHP	MADLP	OL	0.111494	3.77644	7.95435e-05	0	523.162	185.463	148.255
MADLP	MADHP	TACHP	0.0649367	2.15617	0.0155352	0.0170931	1304.66	125.078	109.825
MADLP	MADHP	TACLP	0.0752718	2.56081	0.0052215	0.0165108	1295.21	127.402	109.565
OL	OH	MADHP	0.0544645	1.61363	0.0533043	0.0805343	249.868	373.647	335.049
OH	MADHP	TACHP	0.0560754	1.55626	0.0598234	0.0220748	1029.98	186.706	166.879
OH	MADHP	TACLP	0.0580262	1.5313	0.0628479	0.019031	1019.49	187.99	167.37
OL	MADHP	TACHP	0.080473	1.20914	0.113304	0.0342348	1013.8	209.132	177.98
OL	MADHP	TACLP	0.0891198	1.30853	0.095346	0.0317636	1005.97	213.063	178.194
TACHP	TACLP	MADHP	0.0576623	1.33841	0.0903811	0.00918045	993.626	107.95	96.1793
OL	OH	MADLP	0.0813915	2.97772	0.00145199	0.123168	206.633	387.326	329.021
OH	MADLP	TACHP	0.0141975	0.401046	0.344193	0.00509179	1078.8	163.357	158.784
OH	MADLP	TACLP	0.00860219	0.239346	0.405418	0.00256883	1069.42	163.173	160.389
OL	MADLP	TACHP	0.0435005	0.645209	0.259396	0.0174796	1047.82	190.685	174.787
OL	MADLP	TACLP	0.0460271	0.662685	0.253766	0.0155152	1041.48	193.536	176.504
TACHP	TACLP	MADLP	0.0446758	0.994595	0.159967	0.00690062	1010.93	107.418	98.2302
OL	OH	TACHP	0.0266984	0.646724	0.258905	0.0124348	957.065	217.746	206.421
OL	OH	TACLP	0.0333224	0.793239	0.213819	0.0129797	949.265	220.923	206.675
TACHP	TACLP	OH	0.0528211	1.51821	0.0644805	0.0135948	1015.7	109.403	98.4254
TACHP	TACLP	OL	0.0393864	1.09812	0.136076	0.0105646	1026.81	106.267	98.2136
