P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
MADHP	OL	APHP	0.00782202	0.23396	0.407508	0.00736122	427.18	139.274	137.112
TACHP	APHP	MADHP	0.141559	3.61452	0.000150453	0.0977329	293.201	220.806	166.044
TACLP	APHP	MADHP	0.148332	3.44814	0.000282234	0.101225	292.972	220.427	163.481
MADLP	OH	APHP	0.0195697	0.823908	0.204996	0.0231877	357.893	173.433	166.775
OL	MADLP	APHP	0.0159366	0.828178	0.203785	0.0149352	431.798	138.128	133.795
TACHP	APHP	MADLP	0.147018	3.44739	0.000283015	0.100742	292.184	226.285	168.277
TACLP	APHP	MADLP	0.153487	3.27932	0.000520289	0.104051	292.176	226.126	165.948
OL	OH	APHP	0.0314333	1.68683	0.0458185	0.0378807	348.339	180.331	169.339
TACHP	APHP	OH	0.0994645	2.14159	0.0161132	0.190223	277.765	218.524	178.986
TACLP	APHP	OH	0.106285	2.16123	0.015339	0.199568	277.367	217.974	176.091
TACHP	APHP	OL	0.145349	3.61792	0.000148493	0.161486	293.24	223.007	166.406
TACLP	APHP	OL	0.14732	3.4994	0.00023315	0.162339	291.898	221.514	164.627
TACHP	TACLP	APHP	0.00144669	0.0242193	0.490339	0.000690425	470.274	52.2572	52.1062
GL	GH	APLP	0.201895	4.1234	1.86659e-05	0.0982244	395.798	134.15	89.0809
GH	APLP	MADHP	0.00176004	0.0405725	0.483818	0.00122598	324.848	179.561	178.93
GH	APLP	MADLP	0.016049	0.402128	0.343795	0.0111661	324.541	186.999	181.091
APLP	GH	OH	0.0063218	0.160219	0.436354	0.0133575	315.988	187.062	184.712
APLP	GH	OL	0.00694972	0.171386	0.43196	0.00838372	325.749	183.821	181.283
APLP	GH	TACHP	0.0800897	1.17322	0.120354	0.0776994	253.234	213.942	182.214
APLP	GH	TACLP	0.055102	0.822575	0.205375	0.042897	258.373	208.951	187.126
GL	APLP	MADHP	0.0405782	0.768207	0.221182	0.0291756	298.669	198.452	182.974
GL	APLP	MADLP	0.0574108	1.15546	0.123952	0.0415228	301.478	209.005	186.309
GL	APLP	OH	0.0217821	0.433193	0.332437	0.0469806	289.019	202.812	194.165
GL	APLP	OL	0.0355066	0.710394	0.23873	0.0440922	301.566	202.17	188.306
TACHP	GL	APLP	0.0649648	1.2817	0.0999748	0.0536523	247.989	212.704	186.753
TACLP	GL	APLP	0.0632959	1.15885	0.123258	0.0540704	242.662	219.877	193.699
MADHP	MADLP	APLP	0.0441333	0.975304	0.164705	0.0139477	550.309	91.606	83.862
MADHP	OH	APLP	0.0411881	1.20361	0.11437	0.0252348	362.401	177.088	163.077
MADHP	OL	APLP	0.0029772	0.073645	0.470646	0.00147914	435.096	138.333	137.511
TACHP	APLP	MADHP	0.120111	2.79989	0.002556	0.0843183	294.564	220.297	173.052
TACLP	APLP	MADHP	0.126696	2.60517	0.00459139	0.0878638	293.824	219.784	170.355
MADLP	OH	APLP	0.0184003	0.678985	0.248574	0.0114437	364.542	173.424	167.157
OL	MADLP	APLP	0.0254714	1.08357	0.139279	0.0124815	439.291	139.354	132.431
TACHP	APLP	MADLP	0.12845	2.7744	0.00276518	0.0898565	293.793	227.27	175.53
TACLP	APLP	MADLP	0.13488	2.60801	0.00455357	0.0932131	293.097	226.801	172.891
OL	OH	APLP	0.0376666	1.90143	0.0286226	0.0237805	356.345	181.678	168.488
TACHP	APLP	OH	0.0819035	1.71958	0.0427541	0.158186	277.415	217.159	184.279
TACLP	APLP	OH	0.0886177	1.72506	0.0422586	0.167839	276.385	216.356	181.131
TACHP	APLP	OL	0.12129	2.95772	0.00154962	0.136216	294.132	220.687	172.943
TACLP	APLP	OL	0.123368	2.78524	0.00267443	0.137063	291.892	218.674	170.644
TACLP	TACHP	APLP	0.00213503	0.0321861	0.487162	0.000469038	477.105	53.2932	53.0661
GL	GH	MADHP	0.0803782	1.40251	0.0803815	0.0279862	507.344	99.7782	84.9316
GL	GH	MADLP	0.0887409	1.51836	0.0644614	0.0307146	508.081	102.983	86.195
GL	GH	OH	0.0574917	1.2167	0.11186	0.0597501	491.714	101.141	90.1436
GL	GH	OL	0.0859874	1.64898	0.0495761	0.0521617	507.15	103.574	87.1725
GH	GL	TACHP	0.145784	1.74397	0.0405823	0.0781083	387.39	115.958	86.4502
GH	GL	TACLP	0.133218	1.43616	0.0754789	0.0556904	399.358	115.426	88.2875
MADHP	MADLP	GH	0.0138184	0.372666	0.354698	0.00721791	555.127	90.5157	88.0482
MADHP	OH	GH	0.0506062	1.45221	0.0732214	0.0497057	359.343	176.381	159.389
MADHP	OL	GH	0.0146598	0.487949	0.312793	0.0116704	432.292	138.066	134.077
TACHP	GH	MADHP	0.128341	2.23525	0.0127004	0.0831923	311.537	204.911	158.296
TACLP	GH	MADHP	0.132394	2.24035	0.0125341	0.0867422	305.187	208.691	159.893
MADLP	OH	GH	0.043529	1.3757	0.0844574	0.0427154	362.868	174.1	159.576
MADLP	OL	GH	0.00578621	0.218756	0.41342	0.00447637	436.613	132.29	130.767
TACHP	GH	MADLP	0.123888	2.08945	0.0183338	0.079597	312.049	207.89	162.058
TACLP	GH	MADLP	0.127993	2.05062	0.0201522	0.0829989	305.551	211.523	163.52
OL	OH	GH	0.0378707	1.61575	0.0530739	0.0385527	350.487	178.17	165.168
TACHP	GH	OH	0.0934557	1.65084	0.0493854	0.169494	295.731	206.097	170.867
TACLP	GH	OH	0.0982273	1.66148	0.0483081	0.179038	289.554	210.051	172.476
TACHP	GH	OL	0.138052	2.37491	0.00877662	0.143455	309.885	207.248	156.968
TACLP	GH	OL	0.13693	2.31988	0.0101738	0.144304	302.433	209.927	159.36
TACLP	TACHP	GH	0.0993636	1.51127	0.0653604	0.0410871	448.126	56.0421	45.9116
MADHP	MADLP	GL	0.00303434	0.0773674	0.469166	0.000760845	568.384	86.9853	86.459
MADHP	OH	GL	0.0633704	1.48221	0.0691428	0.03013	368.821	174.862	154.02
MADHP	OL	GL	0.00929945	0.261636	0.396801	0.00351934	442.733	132.106	129.671
TACHP	GL	MADHP	0.0953155	1.43714	0.0753388	0.0565947	333.51	182.53	150.762
TACLP	GL	MADHP	0.0996561	1.54253	0.0614719	0.0603513	325.8	187.32	153.368
MADLP	OH	GL	0.0619452	1.66817	0.0476408	0.029387	373.899	174.134	153.819
MADLP	OL	GL	0.00753561	0.22344	0.411597	0.00276018	448.284	127.559	125.651
TACHP	GL	MADLP	0.0851344	1.29209	0.0981627	0.0504416	335.556	185.102	156.058
TACLP	GL	MADLP	0.0897439	1.30852	0.095349	0.053972	327.473	189.519	158.304
OL	OH	GL	0.0547426	2.07202	0.0191319	0.0267011	360.641	177.327	158.92
TACHP	GL	OH	0.0694964	1.24447	0.106663	0.116584	316.596	186.457	162.225
TACLP	GL	OH	0.0744833	1.24835	0.105951	0.126637	309.339	191.7	165.123
TACHP	GL	OL	0.102179	1.63386	0.0511437	0.0966593	331.269	182.723	148.843
TACLP	GL	OL	0.100832	1.58387	0.0566111	0.0974972	322.542	186.496	152.332
TACLP	TACHP	GL	0.120306	1.59358	0.0555148	0.0225964	420.777	58.2012	45.7011
MADHP	MADLP	OH	0.0262033	0.790084	0.214739	0	375.009	113.691	107.885
MADHP	MADLP	OL	0.0436658	1.22401	0.110475	1.70134	279.435	120.669	110.572
MADHP	MADLP	TACHP	0.0200773	0.360408	0.359271	0.00614082	592.998	82.5544	79.3047
MADHP	MADLP	TACLP	0.0206156	0.353568	0.361832	0.00515611	593.382	80.7683	77.5054
OL	MADHP	OH	0.0310241	1.06122	0.144294	0	275.145	176.884	166.239
MADHP	OH	TACHP	0.0892508	2.90582	0.00183147	0.0534547	391.354	173.163	144.785
MADHP	OH	TACLP	0.0894142	2.80423	0.00252186	0.0445869	392.425	171.889	143.673
MADHP	OL	TACHP	0.00127184	0.0364245	0.485472	0.000608237	471.733	127.226	126.903
MADHP	OL	TACLP	0.00887428	0.263524	0.396073	0.00351005	471.053	126.261	124.04
TACLP	TACHP	MADHP	0.024966	0.40316	0.343415	0.00388179	590.151	44.8266	42.6429
OL	MADLP	OH	0.0489781	1.62245	0.0523531	0	278.721	176.169	159.718
MADLP	OH	TACHP	0.0791127	2.80674	0.00250225	0.0474835	395.369	171.371	146.244
MADLP	OH	TACLP	0.0791122	2.6047	0.00459778	0.0396397	396.524	170.181	145.228
OL	MADLP	TACHP	0.0117437	0.444255	0.328429	0.00551045	477.738	126.061	123.135
OL	MADLP	TACLP	0.00424139	0.127495	0.449274	0.0016528	477.167	123.319	122.277
TACLP	TACHP	MADLP	0.0249632	0.404997	0.34274	0.00375297	586.635	44.5602	42.3897
OL	OH	TACHP	0.0855157	3.043	0.00117118	0.0526742	385.601	178.055	150.001
OL	OH	TACLP	0.0797594	2.80804	0.00249221	0.0412449	385.844	175.953	149.958
TACLP	TACHP	OH	0.0264099	0.57116	0.283946	0.0111745	562.52	45.5725	43.2273
TACLP	TACHP	OL	0.00334443	0.0776632	0.469048	0.000815402	587.862	42.8604	42.5747
