P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
GH	TACLP	OL	0.0121378	0.214711	0.414996	0.013833	330.228	147.376	143.841
TACLP	TACHP	GH	0.22623	1.75005	0.0400551	0.101821	448.393	50.8334	32.0766
MADLP	MADHP	GL	0.0373074	0.682469	0.247471	0.00683013	534.313	68.8483	63.8959
MADHP	OH	GL	0.0842428	1.35968	0.0869651	0.0319543	328.851	148.081	125.07
MADHP	OL	GL	0.0421952	0.686052	0.24634	0.0142859	376.791	127.048	116.761
TACHP	GL	MADHP	0.0369295	0.429077	0.333934	0.0183217	327.445	143.558	133.333
TACLP	GL	MADHP	0.0216875	0.261712	0.396772	0.0108453	318.226	141.478	135.472
MADLP	OH	GL	0.0998134	1.68477	0.0460161	0.0385662	316.967	154.06	126.096
MADLP	OL	GL	0.0600306	1.07891	0.140314	0.0210185	357.156	134.555	119.315
TACHP	GL	MADLP	0.0149541	0.182203	0.427712	0.00770361	330.464	141.624	137.451
TACLP	GL	MADLP	0.0158851	0.205743	0.418496	0.00818894	323.771	142.071	137.628
OL	OH	GL	0.0441966	1.49628	0.06729	0.0179229	320.58	150.303	137.579
TACHP	GL	OH	0.00250617	0.0386781	0.484574	0.00376554	306.148	145.272	144.546
TACLP	GL	OH	0.000186225	0.0029091	0.498839	0.000293014	303.394	149.658	149.602
GL	TACHP	OL	0.037084	0.531099	0.297675	0.0408374	312.613	149.721	139.013
GL	TACLP	OL	0.0369325	0.544013	0.293216	0.041409	308.02	152.417	141.56
TACLP	TACHP	GL	0.0958152	0.5935	0.276423	0.0131376	477.253	40.8264	33.6869
MADLP	MADHP	OH	0.0904301	2.4006	0.00818414	0.665793	369.379	107.696	89.8331
MADLP	MADHP	OL	0.135731	2.96507	0.00151306	0.650646	318.987	113.552	86.411
MADHP	MADLP	TACHP	0.00794557	0.182497	0.427596	0.0017522	544.346	69.7558	68.656
MADLP	MADHP	TACLP	0.0244361	0.518149	0.302177	0.00450021	542.509	71.0385	67.6495
OH	OL	MADHP	0.139907	2.72474	0.00321764	0.163133	162.404	229.146	172.897
MADHP	OH	TACHP	0.121066	3.26795	0.000541644	0.0517968	332.018	150.521	118.011
MADHP	OH	TACLP	0.109836	2.79082	0.0026287	0.0386293	327.147	146.321	117.36
MADHP	OL	TACHP	0.12682	3.14364	0.000834301	0.0496629	377.735	138.7	107.479
MADHP	OL	TACLP	0.111373	2.47676	0.00662907	0.0362145	374.354	135.469	108.318
TACHP	TACLP	MADHP	0.0714779	0.559698	0.287843	0.0075596	657.943	31.6226	27.4035
OH	OL	MADLP	0.122083	2.59757	0.00469433	0.136004	176.254	215.854	168.884
MADLP	OH	TACHP	0.113577	2.71166	0.0033474	0.0500529	317.617	153.983	122.573
MADLP	OH	TACLP	0.119454	2.84023	0.00225409	0.042958	314.549	151.586	119.235
MADLP	OL	TACHP	0.118125	2.76047	0.00288593	0.0479038	354.449	142.556	112.435
MADLP	OL	TACLP	0.121691	2.63159	0.0042493	0.040554	352.496	140.752	110.212
TACLP	TACHP	MADLP	0.00477337	0.0401519	0.483986	0.000497088	657.825	28.3856	28.1159
OL	OH	TACHP	0.0044703	0.180194	0.4285	0.00216199	315.896	144.893	143.603
OL	OH	TACLP	0.00635548	0.232722	0.407989	0.00250547	313.667	143.334	141.523
TACHP	TACLP	OH	0.0114366	0.115505	0.454023	0.00347662	627.012	29.6537	28.9831
TACHP	TACLP	OL	0.00252422	0.0212706	0.491515	0.0005916	628.929	29.7601	29.6102
