P1	P2	P3	Dstatistic	Z.score	p.value	f4.ratio	BBAA	ABBA	BABA	bonferroni
APLP	GL	TACLP	0.0844343	11.8331	0	0.0598852	147606	151140	127605	0
GL	APHP	OH	0.0400933	8.50115	9.37835e-18	0.0592979	228696	128959	119017	1.63101739130435e-17
GL	APHP	OL	0.0498688	10.3231	0	0.0579166	230843	129754	117428	0
APLP	APHP	OH	0.0511598	14.8592	0	0.0578482	300211	99517.9	89830.9	0
GH	APHP	OL	0.0444768	12.3087	0	0.0521667	229616	129575	118540	0
GH	APHP	OH	0.0347851	9.91342	0	0.0520511	227509	128820	120159	0
APLP	APHP	OL	0.0578852	16.1501	0	0.0517499	302060	100015	89070	0
MADLP	MADHP	OL	0.00232156	0.795412	0.213187	0.0491568	217049	86880.1	86477.7	0.230472432432432
TACHP	APLP	MADLP	0.0802133	15.0109	0	0.0471902	250907	125833	107145	0
TACLP	APLP	MADLP	0.0792699	13.4835	0	0.0467406	250542	125945	107444	0
APHP	APLP	TACLP	0.0866163	21.5069	0	0.0464193	210491	120003	100871	0
TACHP	GH	MADLP	0.0828195	17.2226	0	0.0463719	262459	120054	101690	0
TACLP	GH	MADLP	0.0816484	15.7153	0	0.0459221	261858	120405	102227	0
TACHP	APLP	MADHP	0.0783818	14.5541	0	0.0438327	250630	125760	107479	0
TACLP	APLP	MADHP	0.0781047	13.0867	0	0.0437561	250332	125940	107692	0
TACHP	GL	MADLP	0.0784474	14.4734	0	0.0430091	267463	117077	100044	0
TACLP	GL	MADLP	0.0773709	13.6951	0	0.0425556	267071	117283	100438	0
APLP	GH	TACLP	0.0590175	10.6749	0	0.0420684	148380	148340	131806	0
TACHP	GH	MADHP	0.0790248	16.612	0	0.0420322	262313	119683	102153	0
TACLP	GH	MADHP	0.0785448	15.1786	0	0.0419551	261805	120128	102632	0
TACHP	GL	MADHP	0.0739405	13.7154	0	0.0384849	267325	116568	100517	0
TACLP	GL	MADHP	0.0735572	12.9946	0	0.0384082	267044	116886	100868	0
GL	APHP	MADLP	0.0533065	10.4356	0	0.0345887	232180	129504	116396	0
GL	APHP	MADHP	0.055871	10.8751	0	0.0342594	232232	129815	116076	0
GH	APHP	MADLP	0.047702	12.5579	0	0.0311793	230948	129319	117543	0
GH	APHP	MADHP	0.0496413	12.6618	0	0.0306837	230975	129605	117346	0
APLP	APHP	MADLP	0.0607908	16.4236	0	0.0303545	303557	99923.8	88471.1	0
APLP	APHP	MADHP	0.0610507	16.4194	0	0.0288581	303376	100002	88494.3	0
GH	GL	TACHP	0.0482013	7.21459	2.70492e-13	0.0249772	258654	72294.6	65645.7	4.38635675675676e-13
GH	GL	APLP	0.0248236	4.73201	1.11156e-06	0.0218723	261226	70733.6	67307	1.55101395348837e-06
MADHP	OH	GH	0.0288701	11.9643	0	0.0199679	268404	111884	105605	0
MADLP	OH	TACHP	0.0394629	14.5925	0	0.0196387	282125	110450	102063	0
MADLP	OH	GH	0.0277826	11.316	0	0.0192684	267639	111997	105942	0
GH	GL	TACLP	0.0508155	6.95272	1.79154e-12	0.0185992	259356	72398.8	65396.6	2.866464e-12
MADHP	OH	TACHP	0.0366443	13.701	0	0.0182378	282545	109991	102215	0
MADLP	OH	APHP	0.0132443	6.45321	5.47531e-11	0.0179537	259435	112454	109514	8.53295064935065e-11
GH	GL	APHP	0.00793396	1.79965	0.0359581	0.0169321	287516	66555.3	65507.5	0.0435855757575758
MADHP	OH	APHP	0.0120988	5.56129	1.33897e-08	0.0164002	259983	112123	109442	1.93586024096386e-08
MADLP	OH	APLP	0.0215797	9.27094	0	0.015798	268044	111376	106671	0
MADLP	OH	TACLP	0.0383052	13.4899	0	0.0151812	282038	110302	102164	0
MADHP	OH	APLP	0.0206876	8.43413	1.66967e-17	0.0151211	268593	111046	106544	2.86229142857143e-17
MADHP	OH	TACLP	0.0362088	12.7592	0	0.0143411	282528	109914	102232	0
MADHP	OH	GL	0.0298749	11.543	0	0.0129772	269435	111633	105157	0
MADLP	OH	GL	0.0281046	10.7018	0	0.0122428	268600	111677	105571	0
OL	OH	GH	0.0167486	8.27556	6.39137e-17	0.0119495	263465	113120	109393	1.06522833333333e-16
OL	OH	TACHP	0.0232442	10.619	0	0.0119244	277581	111203	106150	0
MADLP	OL	APHP	0.00806903	3.94602	3.9731e-05	0.00969502	291535	99170.6	97583	5.35698876404494e-05
OL	OH	TACLP	0.0221162	9.89828	0	0.00901906	277476	111037	106231	0
OL	OH	APLP	0.0117252	5.92796	1.53365e-09	0.0088253	263991	112620	110009	2.300475e-09
OL	OH	APHP	0.00597075	3.54082	0.00019944	0.00834097	255596	113912	112559	0.00026592
MADHP	OL	APHP	0.00675532	3.30882	0.000468448	0.00812677	291757	98990.5	97662	0.000617733626373626
MADHP	OL	GH	0.0132787	5.77033	3.95579e-09	0.00811621	301177	97374.7	94822.5	5.86042962962963e-09
MADLP	OL	TACHP	0.0178064	7.2471	2.12898e-13	0.00780878	316050	95292.3	91958.1	3.49969315068493e-13
GL	GH	OH	0.0112403	2.48742	0.00643363	0.00764341	387005	57646.5	56365	0.00830145806451613
OL	OH	GL	0.0168499	8.30442	5.01444e-17	0.00752855	264377	112750	109013	8.47510985915493e-17
MADLP	OL	GH	0.0121046	5.28182	6.39533e-08	0.0074088	300732	97332.2	95004.1	9.13618571428571e-08
MADLP	OL	APLP	0.0108593	4.50684	3.28996e-06	0.00703367	300820	97510.1	95415.1	4.53787586206897e-06
GL	APLP	OL	0.00611439	1.13592	0.127995	0.00649084	256161	113659	112277	0.145827169811321
MADHP	OL	TACHP	0.0145546	6.00884	9.34293e-10	0.00638792	316100	94939.2	92215.2	1.41917924050633e-09
MADHP	OL	APLP	0.00980936	4.16436	1.56114e-05	0.00635214	301047	97334.6	95443.6	2.12882727272727e-05
MADLP	OL	TACLP	0.0178032	6.82952	4.25993e-12	0.00621805	315859	95286.8	91953.3	6.7262052631579e-12
APLP	GH	OH	0.00446787	1.10065	0.135524	0.00612895	250810	115371	114345	0.15198953271028
GL	GH	OL	0.0113953	2.44147	0.00731387	0.00606727	390391	57306.5	56015.2	0.00933685531914894
GL	APLP	MADHP	0.00993172	1.73455	0.0414104	0.00556194	257793	113399	111169	0.04969248
TACLP	TACHP	GH	0.0118846	2.22438	0.0130615	0.00550874	315071	40518.9	39567.1	0.0161585567010309
MADHP	OL	GL	0.014304	5.59281	1.11709e-08	0.00549017	302241	97148	94408	1.63476585365854e-08
MADHP	OL	TACLP	0.0153747	6.04819	7.32426e-10	0.00537011	315957	94982.7	92106.3	1.12680923076923e-09
MADLP	OL	GL	0.0123579	4.92161	4.29169e-07	0.00475036	301728	97037.1	94668	6.05885647058824e-07
TACLP	TACHP	APHP	0.00425492	0.987343	0.161737	0.00466517	349140	38296.4	37971.8	0.178059082568807
GL	APLP	MADLP	0.00736844	1.29666	0.0973748	0.00436827	257755	113157	111502	0.114558588235294
GL	GH	MADHP	0.0131295	2.56184	0.0052059	0.00368879	392707	57070.7	55591.5	0.00679030434782609
GL	GH	MADLP	0.0118192	2.28592	0.0111294	0.00351545	392438	57025	55692.7	0.0140581894736842
TACLP	TACHP	APLP	0.00608098	1.15595	0.123851	0.0027535	331012	39451.9	38975	0.142905
GH	APLP	MADHP	0.0033051	0.723019	0.234834	0.00188015	254981	114014	113263	0.251607857142857
TACLP	TACHP	GL	0.00739949	1.13201	0.128814	0.00171553	308651	40747.6	40149	0.145827169811321
MADLP	MADHP	APHP	0.00209067	1.00467	0.157527	0.00158268	386379	62114.4	61855.2	0.17503
GL	APLP	OH	0.0011238	0.218279	0.413606	0.00152189	253549	113657	113402	0.422853559322034
MADLP	MADHP	TACHP	0.00518882	2.26914	0.0116298	0.00142901	413163	59109.5	58499.2	0.01453725
GH	APLP	MADLP	0.00142206	0.320969	0.374117	0.000855717	254963	113792	113469	0.387017586206897
MADLP	MADHP	TACLP	0.00388532	1.62995	0.0515561	0.000852488	413062	59042.2	58585.2	0.0612547722772277
TACHP	TACLP	OL	0.00290395	0.650577	0.25766	0.000814398	463989	32187.7	32001.3	0.271221052631579
MADHP	MADLP	GL	0.0030748	1.22733	0.109849	0.000743217	398133	60501.6	60130.7	0.127979417475728
MADHP	MADLP	GH	0.00185082	0.83512	0.201825	0.000712251	396917	60617.7	60393.8	0.220172727272727
MADLP	MADHP	APLP	0.00167955	0.700361	0.241851	0.000684846	396605	60832.6	60628.6	0.256832920353982
TACHP	TACLP	MADLP	0.00293588	0.589247	0.277848	0.000472765	467113	31978.6	31791.4	0.289928347826087
GH	APLP	OL	0.00039425	0.0921673	0.463283	0.000425785	253350	114275	114184	0.463283
TACLP	TACHP	OH	0.000937114	0.212635	0.415806	0.00033243	459335	32398.9	32338.2	0.422853559322034
TACHP	TACLP	MADHP	0.000531916	0.106741	0.457497	8.14126e-05	466612	31934.6	31900.6	0.461341512605042
